od_key,src,dst,is_diag,class,flow_scale,sum_mse,rmse,mae,mean_true,max_true,mean_pred,rank,mse_share_pct,cum_mse_pct,rank_pct,tier
35_37-35_37,35_37,35_37,True,True Stable,Medium (50~200人),1992.3368449389884,8.435335637616893,7.006423345716341,64.39980488824347,82.19204729006192,64.387725,55,0.40304827667553983,70.38661870558755,3.5483870967741935,🟠 Top 1%~5% 次級幹線 (高度誤差)
35_39-35_39,35_39,35_39,True,True Stable,Small (10~50人),1876.3220349210808,8.186055292213794,6.861418537169446,32.232071606976845,45.393260678192185,33.489953571428565,56,0.37957856603632817,70.76619727162388,3.612903225806452,🟠 Top 1%~5% 次級幹線 (高度誤差)
61_62-61_62,61_62,61_62,True,Temporary Increase,Medium (50~200人),1852.8615005972686,8.134717267448883,6.544094911647426,68.10754954902747,85.71818543516615,67.98241785714285,57,0.3748325172177664,71.14102978884165,3.6774193548387095,🟠 Top 1%~5% 次級幹線 (高度誤差)
33_37-33_37,33_37,33_37,True,Delayed Increase,Medium (50~200人),1828.389953334083,8.08081933905857,6.769683600669433,37.910774652323894,51.465604760143336,38.18025,58,0.36988194122602785,71.51091173006768,3.741935483870968,🟠 Top 1%~5% 次級幹線 (高度誤差)
42_44-42_44,42_44,42_44,True,True Stable,Medium (50~200人),1741.3412032659796,7.886111669225796,6.1634772361841295,48.2601179538967,65.94585070105748,48.90031428571429,59,0.35227204318552696,71.8631837732532,3.8064516129032255,🟠 Top 1%~5% 次級幹線 (高度誤差)
36_41-36_41,36_41,36_41,True,Temporary Increase,Medium (50~200人),1729.2794253975876,7.858751776108294,6.055457122406667,54.311292787135514,69.51688561510744,55.326457142857144,60,0.3498319544044316,72.21301572765762,3.870967741935484,🟠 Top 1%~5% 次級幹線 (高度誤差)
51_44-51_44,51_44,51_44,True,Temporary Increase,Small (10~50人),1697.9266108594309,7.7871840932472205,6.5020486448843355,32.87206479356337,49.53461273913313,34.17580357142857,61,0.34348930310998205,72.55650503076761,3.9354838709677415,🟠 Top 1%~5% 次級幹線 (高度誤差)
30_51-30_51,30_51,30_51,True,True Stable,Medium (50~200人),1668.0787979548907,7.718435254901296,6.488918025032942,41.564969320970036,54.859287927668134,40.49357500000001,62,0.3374511125378063,72.89395614330542,4.0,🟠 Top 1%~5% 次級幹線 (高度誤差)
40_45-40_45,40_45,40_45,True,True Stable,Medium (50~200人),1652.3158297784382,7.681879954473659,6.2701530810879,65.17695843779236,85.43957811522519,64.35897142857144,63,0.3342622756827588,73.22821841898816,4.064516129032258,🟠 Top 1%~5% 次級幹線 (高度誤差)
34_49-34_49,34_49,34_49,True,Partial Recovery,Small (10~50人),1634.5687425258245,7.640514059289991,5.818794751594228,32.28426019327642,45.343370098766336,32.47203928571429,64,0.33067205299960833,73.55889047198778,4.129032258064516,🟠 Top 1%~5% 次級幹線 (高度誤差)
40_37-40_37,40_37,40_37,True,True Stable,Medium (50~200人),1549.6722162216975,7.43945134358926,5.551034396250025,46.819271931818896,62.21040758027541,47.05150357142857,65,0.3134975482417716,73.87238802022955,4.193548387096775,🟠 Top 1%~5% 次級幹線 (高度誤差)
42_35-42_35,42_35,42_35,True,True Stable,Medium (50~200人),1519.3268567075063,7.366252334385479,5.670289921311,33.63270170205756,53.78265263740696,33.07702142857143,66,0.3073587043568316,74.17974672458638,4.258064516129032,🟠 Top 1%~5% 次級幹線 (高度誤差)
35_40-35_40,35_40,35_40,True,True Stable,Medium (50~200人),1475.1967587203837,7.258484588791795,5.900772185286331,44.79236655852821,57.79209438230781,44.01217142857143,67,0.29843121802919853,74.47817794261557,4.322580645161291,🟠 Top 1%~5% 次級幹線 (高度誤差)
39_44-39_44,39_44,39_44,True,Temporary Increase,Medium (50~200人),1465.5781704389858,7.234782478808749,6.512232361436909,91.25539927235106,106.65424238678703,91.81740357142857,68,0.29648538470251135,74.7746633273181,4.387096774193548,🟠 Top 1%~5% 次級幹線 (高度誤差)
56_61-56_61,56_61,56_61,True,True Stable,Medium (50~200人),1459.1587671555342,7.218920494969982,6.307148132717066,50.50158470816657,63.785544946407356,50.22093214285714,69,0.29518674414519147,75.06985007146328,4.451612903225807,🟠 Top 1%~5% 次級幹線 (高度誤差)
35_70-35_70,35_70,35_70,True,True Stable,Medium (50~200人),1411.0278482699155,7.098862706372447,5.694002583942719,67.0609569522045,84.0087314073902,66.22294642857143,70,0.28544989469579385,75.35529996615908,4.516129032258064,🟠 Top 1%~5% 次級幹線 (高度誤差)
34_40-34_40,34_40,34_40,True,Partial Dissipation,Medium (50~200人),1387.2790778293645,7.038869323339419,5.932542446849859,45.82265222041723,58.779585231954066,45.722264285714296,71,0.2806455359230582,75.63594550208215,4.580645161290323,🟠 Top 1%~5% 次級幹線 (高度誤差)
41_44-41_44,41_44,41_44,True,Partial Dissipation,Small (10~50人),1367.8515884525505,6.989409305852244,5.118973898046332,29.847522573702385,38.01795856951779,30.227550000000004,72,0.2767153691275448,75.91266087120968,4.645161290322581,🟠 Top 1%~5% 次級幹線 (高度誤差)
32_38-32_38,32_38,32_38,True,Temporary Increase,Medium (50~200人),1295.0003528696557,6.800736180920982,5.2898713152396,55.44063162581221,69.21520600545816,54.00890714285714,73,0.2619776178130733,76.17463848902275,4.709677419354839,🟠 Top 1%~5% 次級幹線 (高度誤差)
34_69-34_69,34_69,34_69,True,True Stable,Medium (50~200人),1274.1491895954448,6.745763722502984,5.460280328133166,56.21091193184333,70.75049363059041,57.024914285714296,74,0.2577594428364376,76.4323979318592,4.774193548387097,🟠 Top 1%~5% 次級幹線 (高度誤差)
39_37-39_37,39_37,39_37,True,True Stable,Medium (50~200人),1270.8480013473666,6.737019268159236,5.955059572250468,67.34685425259883,79.67596420975391,66.38941428571428,75,0.25709161488467863,76.68948954674387,4.838709677419355,🟠 Top 1%~5% 次級幹線 (高度誤差)
34_48-34_48,34_48,34_48,True,True Stable,Small (10~50人),1257.5177964455993,6.701593084711807,5.4989681298413675,22.937533397200383,32.467059044306126,22.14281071428571,76,0.25439492424873666,76.9438844709926,4.903225806451613,🟠 Top 1%~5% 次級幹線 (高度誤差)
56_60-56_60,56_60,56_60,True,Recovered,Small (10~50人),1225.13086325889,6.614731565817127,5.068389152883492,25.02239776626939,37.1648650153472,24.777160714285714,77,0.24784307151315735,77.19172754250577,4.967741935483871,🟠 Top 1%~5% 次級幹線 (高度誤差)
33_39-33_39,33_39,33_39,True,True Stable,Small (10~50人),1215.6593551659375,6.589112652067851,5.173302682385225,35.94387451097632,46.84225044132072,36.179139285714285,78,0.24592699240029037,77.43765453490606,5.032258064516129,🟡 Top 5%~10% 中級路線
36_37-36_37,36_37,36_37,True,Partial Dissipation,Small (10~50人),1182.6922923506136,6.499154594337123,5.478129570357474,28.283141532052582,38.02081099132116,28.382025,79,0.23925777986802027,77.6769123147741,5.096774193548387,🟡 Top 5%~10% 中級路線
36_42-36_42,36_42,36_42,True,True Stable,Medium (50~200人),1166.7296601475027,6.4551465075425964,5.190286182096801,45.866564774488744,58.48778189410009,45.47585714285714,80,0.2360285511274022,77.91294086590149,5.161290322580645,🟡 Top 5%~10% 中級路線
53_37-53_37,53_37,53_37,True,Partial Dissipation,Medium (50~200人),1150.0590502435814,6.408863979575424,5.2355328399844145,45.20619800942705,55.046171441041004,43.67571428571428,81,0.23265609901922893,78.14559696492073,5.225806451612904,🟡 Top 5%~10% 中級路線
32_45-32_45,32_45,32_45,True,True Stable,Small (10~50人),1125.7449175435202,6.3407551306255545,5.486478864972595,21.170717375950062,35.38312963250087,22.41230714285714,82,0.22773736787769844,78.37333433279842,5.290322580645161,🟡 Top 5%~10% 中級路線
38_38-38_38,38_38,38_38,True,True Stable,Small (10~50人),1100.1591515794883,6.26828511402409,4.99342206050584,25.910932831978123,37.59262536415046,25.004392857142857,83,0.22256138626323274,78.59589571906166,5.35483870967742,🟡 Top 5%~10% 中級路線
60_61-60_61,60_61,60_61,True,Temporary Increase,Medium (50~200人),1055.9969973050934,6.141187057498078,5.089275311642865,50.06479153435676,67.42402975234276,48.43648928571429,84,0.21362741497228913,78.80952313403394,5.419354838709677,🟡 Top 5%~10% 中級路線
35_41-35_41,35_41,35_41,True,Partial Dissipation,Small (10~50人),1026.219220231045,6.053981040342217,4.771759380606654,32.017886751408604,49.81378500812489,31.988235714285715,85,0.2076033925970511,79.017126526631,5.483870967741936,🟡 Top 5%~10% 中級路線
43_42-43_42,43_42,43_42,True,Partial Dissipation,Small (10~50人),1005.6058189752058,5.992870225094881,5.1954729152146495,24.563536733123517,31.94508060307934,23.70528214285714,86,0.2034333167016561,79.22055984333265,5.548387096774193,🟡 Top 5%~10% 中級路線
50_46-50_46,50_46,50_46,True,Recovered,Small (10~50人),984.6725926939855,5.9301668029238,4.927817306673778,15.638734906204627,23.276656674222952,16.846292857142853,87,0.19919854043912938,79.41975838377179,5.612903225806452,🟡 Top 5%~10% 中級路線
40_44-40_44,40_44,40_44,True,Partial Dissipation,Small (10~50人),976.3025127604062,5.904908710920113,4.674163617929787,31.996166792331206,42.70714475366174,31.92572857142857,88,0.19750527943186788,79.61726366320366,5.67741935483871,🟡 Top 5%~10% 中級路線
61_65-61_65,61_65,61_65,True,Persistent Increase,Small (10~50人),963.8892808670591,5.867249540783445,4.221226251831437,15.39166523025076,33.348119138584174,15.867735714285715,89,0.19499409176031698,79.81225775496397,5.741935483870968,🟡 Top 5%~10% 中級路線
